date,store_id,city,area,area_type,income_level,sku_id,category,price,discount_pct,weather,is_weekend,is_holiday,raw_demand,units_sold,inventory_level,lead_time_days,order_placed,order_quantity
2023-12-30,DS_MUM_01,Mumbai,Andheri,Residential,High,BANANA_DOZ,Fruits,50,0.0,Sunny,1,0,83,83,162,1.0,0,0
2024-02-13,DS_PUN_02,Pune,Hadapsar,Residential,Medium,MILK_500ML,Dairy,28,0.0,Cloudy,0,0,79,79,207,1.0,0,0
2024-03-15,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,EGGS_12PK,Dairy,72,0.0,Sunny,0,0,64,64,231,1.0,0,0
30/06/2022,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,TOMATO_500G,Vegetables,30,0.0,Rainy,0,0,141,141,747,1.0,0,0
2022-07-30,DS_MUM_01,Mumbai,Andheri,Residential,High,CURD_400G,Dairy,42,0.0,Sunny,1,0,68,68,159,1.0,0,0
2022-11-02,DS_MUM_01,Mumbai,Andheri,Residential,High,CURD_400G,Dairy,42,0.0,Sunny,0,0,81,81,328,1.0,0,0
2023-03-31,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,BUTTER_100G,Dairy,55,0.0,Hot,0,0,17,17,98,1.0,0,0
2022-08-20,DS_PUN_02,Pune,Hadapsar,Residential,Medium,MILK_500ML,Dairy,28,0.0,Cloudy,1,0,59,59,531,1.0,0,0
2023-02-14,DS_MUM_01,Mumbai,Andheri,Residential,High,CHIPS_LAYS,Snacks,20,0.0,Sunny,0,0,24,24,350,2.0,0,0
2022-01-03,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,SOAP_BAR,PersonalCare,35,0.0,Sunny,0,0,37,37,32,2.0,0,0
2023-11-14,DS_MUM_01,Mumbai,Andheri,Residential,High,TOMATO_500G,Vegetables,30,0.0,Cloudy,0,0,78,78,1299,1.0,0,0
2023-10-17,DS_PUN_02,Pune,Hadapsar,Residential,Medium,ONION_1KG,Vegetables,40,0.0,Sunny,0,0,98,98,15,1.0,1,500
2023-10-30,DS_PUN_02,Pune,Hadapsar,Residential,Medium,MAGGI_NOOD,Packaged,14,0.0,Partly Cloudy,0,0,41,41,402,2.0,0,0
2022-09-22,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,BUTTER_100G,Dairy,55,0.0,Rainy,0,0,8,8,102,1.0,0,0
2023-03-09,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,PANEER_200G,Dairy,85,0.0,Cloudy,0,0,32,32,360,2.0,0,0
2023-05-11,DS_MUM_01,Mumbai,Andheri,Residential,High,MAGGI_NOOD,Packaged,14,0.0,Sunny,0,0,48,48,351,2.0,0,0
2022-04-09,DS_PUN_02,Pune,Hadapsar,Residential,Medium,SHAMPOO_SM,PersonalCare,99,5.0,Hot,1,0,13,13,121,,0,0
2023-06-13,DS_PUN_02,Pune,Hadapsar,Residential,Medium,WATER_1L,Beverages,20,0.0,Cloudy,0,0,109,109,292,1.0,0,0
16/03/2022,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,DIAPERS_SM,BabyCare,350,0.0,Hot,0,0,0,0,44,3.0,0,0
2024-01-29,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,BREAD_WH,Bakery,45,0.0,Cloudy,0,0,61,61,612,1.0,0,0
2022-07-19,DS_PUN_01,Pune,Koregaon,Commercial,High,COKE_2L,Beverages,95,0.0,Rainy,0,0,37,37,32,2.0,1,175
2022-05-17,DS_MUM_01,Mumbai,Andheri,Residential,High,COKE_2L,Beverages,95,0.0,Hot,0,0,39,39,108,3.0,1,218
2023-04-15,DS_PUN_01,Pune,Koregaon,Commercial,High,BREAD_WH,Bakery,45,0.0,Hot,1,0,93,93,190,1.0,0,0
2022-06-21,DS_MUM_01,Mumbai,Andheri,Residential,High,MILK_500ML,Dairy,28,0.0,Cloudy,0,0,85,85,104,1.0,0,0
2023-07-28,DS_MUM_01,Mumbai,Andheri,Residential,High,DIAPERS_SM,BabyCare,350,0.0,Cloudy,0,0,12,12,113,3.0,0,0
2022-04-18,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,EGGS_12PK,Dairy,72,0.0,Sunny,0,0,42,42,318,1.0,0,0
2022-12-16,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,SOAP_BAR,PersonalCare,35,0.0,Sunny,0,0,19,19,90,2.0,0,0
2023-05-04,DS_PUN_02,Pune,Hadapsar,Residential,Medium,MAGGI_NOOD,Packaged,14,,Hot,0,0,43,43,114,2.0,1,350
2022-02-27,DS_PUN_01,Pune,Koregaon,Commercial,High,ATTA_5KG,Staples,220,10.0,Foggy,1,0,23,23,114,2.0,0,0
2022-01-18,DS_PUN_02,Pune,Hadapsar,Residential,Medium,CHIPS_LAYS,Snacks,20,0.0,Cloudy,0,0,42,42,148,2.0,0,0
2024-01-16,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,WATER_1L,Beverages,20,0.0,Cloudy,0,0,72,72,71,1.0,1,630
2023-03-04,DS_PUN_02,Pune,Hadapsar,Residential,Medium,WATER_1L,Beverages,20,5.0,Hot,1,0,116,116,385,1.0,0,0
2022-09-17,DS_PUN_02,Pune,Hadapsar,Residential,Medium,SHAMPOO_SM,PersonalCare,99,0.0,Sunny,1,0,3,3,119,,0,0
2023-07-16,DS_MUM_01,Mumbai,Andheri,Residential,High,COKE_2L,Beverages,95,10.0,Rainy,1,0,40,40,149,2.0,0,0
2023-01-20,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,EGGS_12PK,Dairy,72,0.0,Sunny,0,0,38,38,284,1.0,0,0
02/04/2022,DS_MUM_01,Mumbai,Andheri,Residential,High,SOAP_BAR,PersonalCare,35,0.0,Hot,1,0,47,47,197,2.0,0,0
2022-05-24,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,BISCUIT_PK,Snacks,30,0.0,Sunny,0,0,57,57,457,2.0,0,0
2022-09-28,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,WATER_1L,Beverages,20,,Cloudy,0,0,57,57,689,2.0,0,0
16/07/2022,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,RICE_1KG,Staples,60,5.0,Rainy,1,0,49,49,7,2.0,0,0
2022-12-04,DS_MUM_01,Mumbai,Andheri,Residential,High,SOAP_BAR,PersonalCare,35,10.0,Sunny,1,0,42,42,214,2.0,0,0
2023-11-13,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,TOMATO_500G,Vegetables,30,0.0,Cloudy,0,0,46,46,248,1.0,0,0
2023-10-19,DS_PUN_02,Pune,Hadapsar,Residential,Medium,SOAP_BAR,PersonalCare,35,0.0,Partly Cloudy,0,0,26,26,273,2.0,0,0
2022-04-02,DS_PUN_01,Pune,Koregaon,Commercial,High,ONION_1KG,Vegetables,40,0.0,Hot,1,0,89,89,222,1.0,0,0
2024-01-03,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,SHAMPOO_SM,PersonalCare,99,0.0,Cloudy,0,0,27,27,125,3.0,0,0
2022-11-19,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,SHAMPOO_SM,PersonalCare,99,0.0,Partly Cloudy,1,0,52,52,178,3.0,0,0
2023-03-18,DS_PUN_02,Pune,Hadapsar,Residential,Medium,BANANA_DOZ,Fruits,50,10.0,Sunny,1,0,43,43,184,1.0,0,0
2022-02-20,DS_PUN_02,Pune,Hadapsar,Residential,Medium,PANEER_200G,Dairy,85,5.0,Sunny,1,0,36,36,133,1.0,0,0
2022-06-20,DS_PUN_02,Pune,Hadapsar,Residential,Medium,EGGS_12PK,Dairy,72,0.0,Cloudy,0,0,51,51,125,1.0,0,0
2022-10-09,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,COKE_2L,Beverages,95,0.0,Cloudy,1,0,52,52,33,2.0,0,0
2022-11-20,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,BISCUIT_PK,Snacks,30,0.0,Sunny,1,0,77,77,209,2.0,0,0
2023-07-28,DS_PUN_02,Pune,Hadapsar,Residential,Medium,RICE_1KG,Staples,60,0.0,Sunny,0,0,34,31,0,2.0,0,0
2022-06-23,DS_PUN_02,Pune,Hadapsar,Residential,Medium,WATER_1L,Beverages,20,0.0,Rainy,0,0,108,108,597,2.0,0,0
2023-08-08,DS_PUN_01,Pune,Koregaon,Commercial,High,BISCUIT_PK,Snacks,30,0.0,Rainy,0,0,48,48,356,3.0,0,0
2022-09-11,DS_PUN_02,Pune,Hadapsar,Residential,Medium,EGGS_12PK,Dairy,72,10.0,Rainy,1,0,40,40,153,1.0,0,0
2023-04-10,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,CURD_400G,Dairy,42,0.0,Hot,0,0,23,23,116,1.0,0,0
2022-05-27,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,BISCUIT_PK,Snacks,30,0.0,Sunny,0,0,45,45,316,,0,0
2024-03-10,DS_PUN_02,Pune,Hadapsar,Residential,Medium,PANEER_200G,Dairy,85,5.0,Cloudy,1,0,69,69,40,1.0,1,330
2022-08-04,DS_MUM_01,Mumbai,Andheri,Residential,High,RICE_1KG,Staples,60,0.0,Cloudy,0,0,21,21,366,2.0,0,0
2023-05-06,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,EGGS_12PK,Dairy,72,10.0,Sunny,1,0,63,63,83,1.0,0,0
2023-03-05,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,TOMATO_500G,Vegetables,30,5.0,Sunny,1,0,100,100,326,1.0,0,0
2022-05-31,DS_PUN_01,Pune,Koregaon,Commercial,High,DETERGENT_1KG,Household,110,0.0,Sunny,0,0,21,21,82,3.0,0,0
2022-10-18,DS_PUN_01,Pune,Koregaon,Commercial,High,BANANA_DOZ,Fruits,50,0.0,Sunny,0,0,65,65,80,1.0,0,0
2023-01-16,DS_PUN_02,Pune,Hadapsar,Residential,Medium,SHAMPOO_SM,PersonalCare,99,0.0,Sunny,0,0,18,18,95,3.0,0,0
2022-07-10,DS_PUN_01,Pune,Koregaon,Commercial,High,SOAP_BAR,PersonalCare,35,0.0,Rainy,1,0,23,23,79,2.0,1,264
2022-07-10,DS_PUN_01,Pune,Koregaon,Commercial,High,ONION_1KG,Vegetables,40,5.0,Rainy,1,0,53,53,376,2.0,0,0
2023-01-03,DS_PUN_01,Pune,Koregaon,Commercial,High,EGGS_12PK,Dairy,72,0.0,Foggy,0,0,35,35,70,1.0,0,0
2023-07-30,DS_PUN_02,Pune,Hadapsar,Residential,Medium,BUTTER_100G,Dairy,55,5.0,Cloudy,1,0,28,28,35,1.0,1,212
2023-02-14,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,BISCUIT_PK,Snacks,30,0.0,Sunny,0,0,41,41,347,2.0,0,0
2024-03-11,DS_PUN_02,Pune,Hadapsar,Residential,Medium,RICE_1KG,Staples,60,0.0,Sunny,0,0,43,43,116,2.0,0,0
2023-09-13,DS_PUN_01,Pune,Koregaon,Commercial,High,BISCUIT_PK,Snacks,30,0.0,Sunny,0,0,30,30,52,2.0,0,0
2023-05-24,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,BREAD_WH,Bakery,45,0.0,Cloudy,0,0,49,49,502,1.0,0,0
2022-07-22,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,COKE_2L,Beverages,95,0.0,Rainy,0,0,29,29,41,2.0,1,175
2022-04-13,DS_MUM_01,Mumbai,Andheri,Residential,High,ATTA_5KG,Staples,220,0.0,Sunny,0,0,28,28,19,2.0,0,0
2023-10-03,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,DETERGENT_1KG,Household,110,0.0,Sunny,0,0,22,22,75,3.0,0,0
2024-03-07,DS_MUM_01,Mumbai,Andheri,Residential,High,BISCUIT_PK,Snacks,30,0.0,Sunny,0,0,38,38,266,2.0,0,0
2024-03-17,DS_PUN_02,Pune,Hadapsar,Residential,Medium,CHIPS_LAYS,Snacks,20,5.0,Hot,1,0,62,62,179,2.0,0,0
2022-06-19,DS_PUN_01,Pune,Koregaon,Commercial,High,CHIPS_LAYS,Snacks,20,0.0,Rainy,1,0,75,75,121,2.0,1,330
2022-12-14,DS_MUM_01,Mumbai,Andheri,Residential,High,BANANA_DOZ,Fruits,50,0.0,Sunny,0,0,39,39,332,1.0,0,0
2022-04-13,DS_MUM_01,Mumbai,Andheri,Residential,High,BREAD_WH,Bakery,45,0.0,Sunny,0,0,76,53,0,1.0,0,0
2022-10-05,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,BUTTER_100G,Dairy,55,15.0,Cloudy,0,1,44,44,160,2.0,0,0
2023-11-11,DS_MUM_01,Mumbai,Andheri,Residential,High,ONION_1KG,Vegetables,40,5.0,Sunny,1,0,77,77,275,1.0,0,0
2024-01-15,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,ONION_1KG,Vegetables,0,0.0,Sunny,0,0,72,72,499,1.0,0,0
2023-11-15,DS_PUN_01,Pune,Koregaon,Commercial,High,BREAD_WH,Bakery,45,0.0,Sunny,0,0,100,100,82,1.0,1,546
2023-09-18,DS_MUM_01,Mumbai,Andheri,Residential,High,SHAMPOO_SM,PersonalCare,99,0.0,Cloudy,0,0,26,26,129,3.0,0,0
2022-10-10,DS_PUN_02,Pune,Hadapsar,Residential,Medium,COKE_2L,Beverages,95,0.0,Cloudy,0,0,19,19,252,2.0,0,0
2023-05-07,DS_PUN_02,Pune,Hadapsar,Residential,Medium,RICE_1KG,Staples,60,0.0,Sunny,1,0,48,48,149,2.0,0,0
2023-03-26,DS_PUN_01,Pune,Koregaon,Commercial,High,CHIPS_LAYS,Snacks,20,5.0,Sunny,1,0,72,72,237,2.0,0,0
2023-03-02,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,BANANA_DOZ,Fruits,50,0.0,Sunny,0,0,62,62,9999,1.0,0,0
2022-11-01,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,BUTTER_100G,Dairy,55,0.0,Sunny,0,0,40,40,43,1.0,1,227
2022-05-25,DS_PUN_01,Pune,Koregaon,Commercial,,ATTA_5KG,Staples,220,0.0,Sunny,0,0,21,21,77,2.0,0,0
2023-12-24,DS_MUM_01,Mumbai,Andheri,Residential,High,PANEER_200G,Dairy,85,10.0,Sunny,1,0,52,52,137,1.0,0,0
2022-11-18,DS_MUM_01,Mumbai,Andheri,Residential,High,COKE_2L,Beverages,95,0.0,Sunny,0,0,24,24,137,2.0,0,0
2023-04-07,DS_PUN_02,Pune,Hadapsar,Residential,Medium,SHAMPOO_SM,PersonalCare,99,20.0,Sunny,0,1,26,26,60,3.0,1,157
2023-10-20,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,SOAP_BAR,PersonalCare,35,0.0,Sunny,0,0,27,27,216,2.0,0,0
2022-10-17,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,MILK_500ML,Dairy,28,0.0,Cloudy,0,0,64,64,317,1.0,0,0
2024-02-12,DS_PUN_01,Pune,Koregaon,Commercial,High,SHAMPOO_SM,PersonalCare,99,0.0,Cloudy,0,0,19,19,118,3.0,0,0
2023-10-30,DS_MUM_01,Mumbai,Andheri,Residential,High,SHAMPOO_SM,PersonalCare,99,,Sunny,0,0,24,0,0,3.0,0,0
2024-02-12,DS_MUM_01,Mumbai,Andheri,Residential,High,BREAD_WH,Bakery,45,0.0,Foggy,0,0,57,57,208,1.0,0,0
2023-10-02,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,BANANA_DOZ,Fruits,50,20.0,Sunny,0,1,70,70,506,2.0,0,0
2023-07-06,DS_MUM_01,Mumbai,Andheri,Residential,High,ATTA_5KG,Staples,220,0.0,Rainy,0,0,36,36,34,2.0,0,0
2022-09-13,DS_PUN_01,Pune,Koregaon,Commercial,High,COKE_2L,Beverages,95,0.0,Rainy,0,0,17,17,98,2.0,0,0
2023-08-08,DS_PUN_01,Pune,Koregaon,Commercial,High,COKE_2L,Beverages,95,0.0,,0,0,21,21,135,2.0,0,0
2024-02-25,DS_PUN_02,Pune,Hadapsar,Residential,Medium,ATTA_5KG,Staples,220,0.0,Foggy,1,0,30,30,157,2.0,0,0
2023-08-17,DS_PUN_02,Pune,Hadapsar,Residential,Medium,SHAMPOO_SM,PersonalCare,99,0.0,Rainy,0,0,22,22,82,3.0,0,0
2022-04-18,DS_PUN_02,Pune,Hadapsar,Residential,Medium,BUTTER_100G,Dairy,55,0.0,Sunny,0,0,19,19,55,1.0,0,0
2022-03-13,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,BANANA_DOZ,Fruits,50,5.0,Sunny,1,0,57,57,98,1.0,0,0
2022-03-14,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,BUTTER_100G,Dairy,55,0.0,Sunny,0,0,17,17,62,1.0,0,0
2022-01-27,DS_PUN_02,Pune,Hadapsar,Residential,Medium,DIAPERS_SM,BabyCare,350,0.0,Cloudy,0,0,6,6,2,3.0,0,0
2023-03-02,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,COKE_2L,Beverages,95,0.0,Sunny,0,0,12,12,55,3.0,0,0
2022-06-16,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,BUTTER_100G,Dairy,55,0.0,Cloudy,0,0,33,33,33,1.0,1,157
2023-07-16,DS_PUN_02,Pune,Hadapsar,Residential,Medium,ONION_1KG,Vegetables,40,0.0,Rainy,1,0,116,116,72,1.0,1,727
2022-09-30,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,SHAMPOO_SM,PersonalCare,99,0.0,Rainy,0,0,9,9,86,3.0,0,0
2022-03-01,DS_PUN_01,Pune,Koregaon,Commercial,High,BANANA_DOZ,Fruits,50,0.0,Sunny,0,0,54,46,0,1.0,0,0
2023-11-21,DS_PUN_01,Pune,Koregaon,Commercial,High,COKE_2L,Beverages,95,0.0,Sunny,0,0,28,28,261,2.0,0,0
2023-06-26,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,RICE_1KG,Staples,60,0.0,Cloudy,0,0,37,37,53,2.0,0,0
2022-02-22,DS_PUN_02,Pune,Hadapsar,Residential,Medium,MILK_500ML,Dairy,28,0.0,Sunny,0,0,89,89,195,1.0,0,0
2023-03-09,DS_PUN_02,Pune,Hadapsar,Residential,Medium,TOMATO_500G,Vegetables,30,0.0,Sunny,0,0,89,89,388,1.0,0,0
23/05/2023,DS_MUM_01,Mumbai,Andheri,Residential,High,WATER_1L,Beverages,20,0.0,Cloudy,0,0,117,117,43,1.0,1,787
2022-07-26,DS_MUM_01,Mumbai,Andheri,Residential,High,BUTTER_100G,Dairy,55,0.0,Rainy,0,0,28,28,193,1.0,0,0
2023-10-31,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,BISCUIT_PK,Snacks,30,0.0,Partly Cloudy,0,0,63,63,196,2.0,0,0
2022-10-10,DS_MUM_01,Mumbai,Andheri,Residential,High,MILK_500ML,Dairy,28,0.0,Partly Cloudy,0,0,103,103,537,1.0,0,0
2023-07-27,DS_PUN_02,Pune,Hadapsar,Residential,Medium,MAGGI_NOOD,Packaged,14,0.0,Cloudy,0,0,55,55,53,2.0,0,0
2023-03-14,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,MILK_500ML,Dairy,28,0.0,Hot,0,0,48,48,521,1.0,0,0
2022-08-23,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,BISCUIT_PK,Snacks,30,0.0,Rainy,0,0,49,49,78,,1,280
2022-06-05,DS_PUN_01,Pune,Koregaon,Commercial,High,ONION_1KG,Vegetables,40,5.0,Cloudy,1,0,102,102,689,1.0,0,0
2022-08-26,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,ONION_1KG,Vegetables,40,0.0,Cloudy,0,0,102,102,375,1.0,0,0
2022-07-31,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,BANANA_DOZ,Fruits,50,5.0,Cloudy,1,0,24,24,212,2.0,0,0
2022-12-03,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,SOAP_BAR,PersonalCare,35,0.0,Cloudy,1,0,17,17,125,,0,0
2022-12-23,DS_MUM_01,Mumbai,Andheri,Residential,High,ONION_1KG,Vegetables,40,0.0,Sunny,0,0,53,53,143,1.0,0,0
2022-11-29,DS_PUN_02,Pune,Hadapsar,Residential,Medium,BISCUIT_PK,Snacks,30,0.0,Cloudy,0,0,47,47,516,2.0,0,0
2022-10-27,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,BREAD_WH,Bakery,45,0.0,Cloudy,0,0,76,76,121,1.0,0,0
2023-02-16,DS_PUN_01,Pune,Koregaon,Commercial,High,RICE_1KG,Staples,60,0.0,Sunny,0,0,25,25,257,3.0,0,0
2022-12-19,DS_MUM_01,Mumbai,Andheri,Residential,High,MILK_500ML,Dairy,28,0.0,Sunny,0,0,91,91,366,1.0,0,0
2022-03-28,DS_MUM_01,Mumbai,Andheri,Residential,High,BREAD_WH,Bakery,45,0.0,Hot,0,0,60,60,164,1.0,0,0
2022-07-20,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,BISCUIT_PK,Snacks,30,,Sunny,0,0,34,34,68,2.0,0,0
2022-09-03,DS_PUN_02,Pune,Hadapsar,Residential,Medium,RICE_1KG,Staples,60,5.0,,1,0,58,56,0,2.0,0,0
2023-10-12,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,PANEER_200G,Dairy,85,0.0,Cloudy,0,0,42,42,40,1.0,1,222
2024-02-10,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,WATER_1L,Beverages,20,5.0,Foggy,1,0,140,140,346,1.0,0,0
2023-09-16,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,WATER_1L,Beverages,20,0.0,Cloudy,1,0,140,140,395,1.0,0,0
2023-02-03,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,SHAMPOO_SM,PersonalCare,99,0.0,Sunny,0,0,1,1,17,3.0,0,0
2022-08-26,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,BUTTER_100G,Dairy,55,0.0,Sunny,0,0,17,17,115,1.0,0,0
2023-07-21,DS_PUN_01,Pune,Koregaon,Commercial,High,CURD_400G,Dairy,42,0.0,Cloudy,0,0,37,37,189,1.0,0,0
2024-02-06,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,EGGS_12PK,Dairy,72,0.0,Sunny,0,0,50,50,133,2.0,0,0
2023-07-15,DS_MUM_01,Mumbai,Andheri,Residential,High,ATTA_5KG,Staples,220,0.0,Rainy,1,0,31,31,162,2.0,0,0
2022-07-29,DS_MUM_01,Mumbai,Andheri,Residential,High,BUTTER_100G,Dairy,55,0.0,Cloudy,0,0,19,19,143,2.0,0,0
2022-09-23,DS_PUN_01,Pune,Koregaon,Commercial,High,BISCUIT_PK,Snacks,30,0.0,Cloudy,0,0,51,51,242,2.0,0,0
